date,open,high,low,close,volume
2020-01-02,1007.061,1036.833,1007.061,1036.833,219385276
2020-01-03,1040.907,1051.456,1036.74,1043.8,216058348
2020-01-06,1037.692,1060.504,1037.414,1044.122,266301181
2020-01-07,1043.81,1048.833,1027.593,1048.833,267592167
2020-01-08,1042.16,1075.812,1041.221,1068.381,320762650
2020-01-09,1078.622,1094.484,1078.622,1091.943,284342095
2020-01-10,1096.104,1101.341,1085.127,1085.127,251547487
2020-01-13,1084.669,1132.524,1080.022,1132.524,246625919
2020-01-14,1132.621,1172.085,1130.551,1150.086,326246382
2020-01-15,1144.021,1155.57,1133.353,1149.369,242046421
2020-01-16,1150.273,1207.648,1150.273,1204.489,308528799
2020-01-17,1208.067,1331.152,1208.067,1316.288,587359671
2020-01-20,1311.262,1337.906,1264.19,1300.986,520259197
2020-01-21,1289.211,1311.218,1255.291,1255.291,420678873
2020-01-22,1232.51,1329.58,1208.701,1329.58,479474004
2020-01-23,1297.747,1363.925,1254.659,1291.5,442593437
2020-02-03,1076.612,1139.112,1060.262,1060.262,546654316
2020-02-04,1091.455,1192.191,1091.455,1192.191,528620605
2020-02-05,1210.09,1287.417,1210.09,1235.393,586021339
2020-02-06,1217.879,1278.899,1217.879,1265.373,558998166
2020-02-07,1261.272,1349.295,1255.323,1349.14,566478458
2020-02-10,1360.23,1403.265,1358.259,1391.514,593290694
2020-02-11,1382.869,1396.278,1343.356,1364.703,503753086
2020-02-12,1354.929,1435.379,1354.929,1416.089,476390579
2020-02-13,1418.142,1498.162,1418.142,1429.668,614405501
2020-02-14,1425.261,1447.297,1353.777,1379.835,531016642
2020-02-17,1385.172,1432.358,1385.172,1432.358,496988892
2020-02-18,1432.084,1467.041,1429.811,1452.893,490560871
2020-02-19,1451.621,1467.441,1425.925,1430.344,478319039
2020-02-20,1432.919,1443.792,1366.814,1394.649,422226619
2020-02-21,1380.712,1418.517,1380.712,1385.759,447545498
2020-02-24,1378.316,1402.828,1366.06,1392.387,419998820
2020-02-25,1349.55,1415.667,1349.55,1412.864,461159876
2020-02-26,1388.873,1407.443,1325.677,1329.096,501581402
2020-02-27,1332.696,1332.696,1277.412,1290.903,503282338
2020-02-28,1226.395,1254.12,1209.441,1214.444,513208397
2020-03-02,1230.133,1283.583,1221.287,1276.8,497973601
2020-03-03,1302.43,1362.119,1297.943,1312.318,512293927
2020-03-04,1292.76,1304.005,1246.971,1277.791,381952408
2020-03-05,1301.399,1304.161,1273.803,1292.53,431261562
2020-03-06,1273.234,1276.817,1260.103,1263.563,326121340
2020-03-09,1233.206,1245.499,1187.39,1187.39,387270267
2020-03-10,1162.777,1238.571,1149.651,1238.571,406492040
2020-03-11,1241.468,1255.367,1205.09,1205.09,424850927
2020-03-12,1180.975,1200.43,1175.081,1191.207,280538369
2020-03-13,1127.426,1222.971,1127.426,1206.746,338330986
2020-03-16,1219.867,1231.276,1148.03,1148.03,318118708
2020-03-17,1166.285,1177.381,1111.288,1164.48,297267785
2020-03-18,1180.791,1204.117,1144.366,1144.483,299956033
2020-03-19,1146.837,1163.831,1119.667,1157.41,278503183
2020-03-20,1169.54,1174.753,1143.221,1155.685,235596103
2020-03-23,1119.853,1122.246,1054.874,1058.993,283047441
2020-03-24,1087.375,1089.752,1031.677,1078.232,236834177
2020-03-25,1118.216,1132.352,1114.789,1119.941,249632576
2020-03-26,1112.423,1130.515,1108.581,1110.94,211377899
2020-03-27,1126.303,1129.075,1102.336,1105.643,229201253
2020-03-30,1079.848,1079.848,1041.951,1059.132,226087562
2020-03-31,1074.752,1083.725,1057.801,1060.901,170367165
2020-04-01,1055.288,1096.056,1055.288,1073.158,175056079
2020-04-02,1068.193,1135.019,1068.193,1135.019,209309745
2020-04-03,1128.561,1132.648,1110.163,1116.375,181440981
2020-04-07,1147.456,1156.494,1142.102,1145.125,198622664
2020-04-08,1136.754,1149.385,1132.977,1137.304,170743271
2020-04-09,1141.291,1143.502,1125.139,1130.546,203173492
2020-04-10,1128.964,1128.964,1081.536,1083.856,227144459
2020-04-13,1070.528,1076.438,1062.883,1065.745,151910320
2020-04-14,1074.172,1097.409,1074.172,1097.409,143001969
2020-04-15,1101.003,1130.352,1101.003,1115.392,166227863
2020-04-16,1107.864,1122.807,1106.978,1116.6,178441697
2020-04-17,1129.127,1161.493,1129.127,1148.607,258571947
2020-04-20,1150.641,1163.591,1146.484,1163.591,501421402
2020-04-21,1157.427,1157.427,1138.164,1148.466,384231448
2020-04-22,1136.003,1165.901,1136.003,1165.901,382158047
2020-04-23,1170.982,1191.105,1170.879,1183.486,405255044
2020-04-24,1181.458,1188.418,1171.162,1178.691,359007486
2020-04-27,1174.138,1181.077,1170.046,1172.357,314526871
2020-04-28,1166.393,1166.393,1069.27,1156.875,460923637
2020-04-29,1148.443,1165.887,1137.028,1137.028,310041790
2020-04-30,1143.491,1214.061,1143.491,1207.037,408721142
2020-05-06,1197.83,1305.081,1197.83,1296.827,563093990
2020-05-07,1299.033,1299.033,1263.501,1269.398,542259635
2020-05-08,1277.74,1322.662,1277.74,1287.06,465940689
2020-05-11,1295.203,1320.561,1264.117,1274.284,412548970
2020-05-12,1271.779,1281.44,1249.47,1281.44,382261393
2020-05-13,1276.911,1302.779,1276.911,1294.639,406899877
2020-05-14,1290.443,1308.136,1287.965,1291.102,467829637
2020-05-15,1294.416,1333.967,1294.295,1321.515,431553986
2020-05-18,1337.428,1337.428,1298.457,1301.488,508222106
2020-05-19,1309.544,1383.337,1309.544,1383.337,480758434
2020-05-20,1375.086,1410.127,1351.231,1362.267,562368083
2020-05-21,1360.76,1365.999,1300.987,1302.189,494905834
2020-05-22,1297.121,1309.393,1255.32,1280.897,424091663
2020-05-25,1274.193,1279.135,1253.116,1258.313,339068153
2020-05-26,1266.753,1329.139,1266.753,1328.196,446592214
2020-05-27,1324.365,1335.411,1302.304,1304.902,457155047
2020-05-28,1302.974,1306.752,1257.683,1282.755,423930227
2020-05-29,1278.626,1320.546,1278.626,1294.584,449858834
2020-06-01,1309.764,1366.219,1309.764,1355.242,507201078
2020-06-02,1360.652,1365.125,1339.315,1356.562,484751785
2020-06-03,1357.239,1363.961,1339.26,1339.26,480051023
2020-06-04,1340.612,1347.77,1335.137,1341.538,549972785
2020-06-05,1340.901,1354.872,1336.286,1342.495,474008333
2020-06-08,1354.14,1359.967,1322.302,1325.269,472884252
2020-06-09,1323.555,1329.385,1315.79,1327.727,427947081
2020-06-10,1327.299,1327.299,1312.723,1316.301,571062526
2020-06-11,1318.577,1341.833,1311.757,1318.994,534853249
2020-06-12,1289.623,1312.742,1289.623,1305.395,480982623
2020-06-15,1302.729,1314.282,1289.396,1290.139,467929183
2020-06-16,1300.392,1333.361,1300.392,1333.361,531551800
2020-06-17,1335.353,1340.994,1321.984,1332.645,545973730
2020-06-18,1331.844,1344.818,1328.222,1342.206,499596924
2020-06-19,1341.901,1367.309,1341.901,1361.903,472499514
2020-06-22,1383.217,1422.029,1383.217,1410.028,711238980
2020-06-23,1403.667,1444.999,1399.725,1444.999,580088224
2020-06-24,1445.339,1481.249,1445.339,1469.747,637643304
2020-06-29,1460.906,1460.906,1436.221,1443.577,524155458
2020-06-30,1454.479,1497.456,1454.479,1487.336,553366039
2020-07-01,1491.95,1497.741,1453.265,1482.796,627861352
2020-07-02,1480.239,1496.487,1472.001,1488.905,599484048
2020-07-03,1494.734,1499.218,1461.28,1491.677,602487037
2020-07-06,1504.336,1619.992,1504.336,1612.446,944941467
2020-07-07,1627.761,1689.223,1627.761,1637.413,1032002801
2020-07-08,1636.911,1676.976,1632.084,1665.073,791315186
2020-07-09,1658.175,1746.644,1658.175,1730.011,968079436
2020-07-10,1717.279,1751.052,1708.059,1722.607,781809011
2020-07-13,1719.314,1809.819,1719.314,1809.819,809767794
2020-07-14,1801.99,1813.033,1741.624,1799.129,944843548
2020-07-15,1803.422,1803.422,1699.97,1699.97,1000875726
2020-07-16,1689.911,1689.911,1532.25,1538.399,1381992026
2020-07-17,1543.117,1561.485,1500.204,1509.368,896505576
2020-07-20,1528.436,1528.436,1446.149,1527.127,905335001
2020-07-21,1520.003,1567.171,1520.003,1552.938,759815700
2020-07-22,1536.9,1583.223,1536.9,1559.404,991081097
2020-07-23,1546.805,1568.62,1516.565,1549.269,894775453
2020-07-24,1518.941,1527.084,1437.797,1437.797,1025438695
2020-07-27,1445.583,1450.748,1414.47,1426.609,620676347
2020-07-28,1440.702,1455.776,1433.403,1452.443,544470660
2020-07-29,1457.375,1545.913,1456.604,1545.913,732699029
2020-07-30,1554.051,1570.939,1543.26,1544.231,740287833
2020-07-31,1538.812,1592.471,1538.812,1588.826,855432271
2020-08-03,1613.308,1686.993,1613.308,1682.141,966538909
2020-08-04,1684.832,1687.384,1627.216,1637.905,782753266
2020-08-05,1679.607,1679.607,1637.463,1665.379,716724706
2020-08-06,1652.467,1664.635,1632.243,1647.546,698620921
2020-08-07,1635.714,1635.714,1549.548,1585.588,735750966
2020-08-10,1575.513,1619.024,1575.298,1599.87,601843703
2020-08-11,1593.367,1602.851,1550.305,1550.305,577138394
2020-08-12,1545.142,1545.142,1488.455,1523.403,633610471
2020-08-13,1533.751,1540.953,1521.898,1526.026,494497119
2020-08-14,1524.926,1542.882,1513.38,1541.696,431304901
2020-08-17,1547.158,1554.893,1526.903,1552.305,750681146
2020-08-18,1551.931,1562.765,1543.615,1562.406,794674346
2020-08-19,1564.477,1564.477,1506.858,1506.858,801652776
2020-08-20,1494.788,1512.168,1482.691,1483.389,615474832
2020-08-21,1494.116,1509.632,1484.026,1488.796,521510192
2020-08-24,1493.786,1498.471,1464.069,1490.895,560666846
2020-08-25,1490.786,1497.577,1464.677,1466.379,526990870
2020-08-26,1460.033,1465.07,1410.329,1417.475,654495312
2020-08-27,1423.411,1473.963,1417.951,1466.229,605652039
2020-08-28,1460.294,1461.542,1439.378,1458.404,565289725
2020-08-31,1464.015,1487.774,1464.015,1468.217,547569244
2020-09-01,1467.857,1475.802,1462.476,1466.221,443187065
2020-09-02,1471.838,1472.231,1447.293,1455.944,491983034
2020-09-03,1453.708,1458.541,1435.649,1439.2,530486148
2020-09-04,1414.551,1440.259,1414.551,1438.152,490980973
2020-09-07,1434.566,1445.818,1395.537,1399.106,620760814
2020-09-08,1398.901,1398.901,1368.365,1384.107,444854452
2020-09-09,1368.408,1368.408,1323.073,1332.405,625218542
2020-09-10,1347.463,1356.405,1312.235,1318.072,475059887
2020-09-11,1318.589,1351.068,1314.544,1351.068,403620136
2020-09-14,1376.882,1407.642,1376.056,1386.526,437324846
2020-09-15,1387.222,1411.651,1372.567,1404.261,410950405
2020-09-16,1400.044,1403.867,1377.586,1383.299,413368555
2020-09-17,1379.613,1429.115,1373.079,1419.781,840625396
2020-09-18,1420.877,1438.641,1417.797,1438.641,637621024
2020-09-21,1442.901,1446.824,1425.773,1429.382,517341628
2020-09-22,1419.205,1434.023,1410.752,1418.885,557156708
2020-09-23,1431.044,1465.595,1431.044,1451.95,620890833
2020-09-24,1438.263,1438.542,1417.924,1420.405,503148747
2020-09-25,1426.781,1426.781,1385.326,1387.505,382413116
