datetime,open,high,low,close,volume,date
2025-02-10 13:15:00,1182.463,1188.325,1181.236,1187.186,217009100.0,2025-02-10
2025-02-10 13:30:00,1187.241,1191.504,1185.949,1191.504,176931700.0,2025-02-10
2025-02-10 13:45:00,1191.616,1192.678,1188.9,1190.856,180949600.0,2025-02-10
2025-02-10 14:00:00,1190.919,1191.674,1186.868,1188.22,166154000.0,2025-02-10
2025-02-10 14:15:00,1188.298,1191.499,1188.157,1191.126,126254400.0,2025-02-10
2025-02-10 14:30:00,1191.152,1195.255,1190.967,1194.472,145695400.0,2025-02-10
2025-02-10 14:45:00,1194.257,1194.257,1191.182,1193.244,178394700.0,2025-02-10
2025-02-10 15:00:00,1193.314,1194.155,1193.099,1193.37,273672500.0,2025-02-10
2025-02-11 09:45:00,1191.008,1191.008,1177.346,1181.018,835171300.0,2025-02-11
2025-02-11 10:00:00,1180.995,1180.995,1173.133,1178.051,443663900.0,2025-02-11
2025-02-11 10:15:00,1177.959,1181.85,1177.612,1179.223,288919600.0,2025-02-11
2025-02-11 10:30:00,1179.237,1179.261,1175.608,1177.585,212067600.0,2025-02-11
2025-02-11 10:45:00,1177.411,1178.841,1176.278,1177.704,176452900.0,2025-02-11
2025-02-11 11:00:00,1177.715,1179.858,1177.088,1177.333,154323000.0,2025-02-11
2025-02-11 11:15:00,1177.269,1183.747,1176.776,1182.467,144602500.0,2025-02-11
2025-02-11 11:30:00,1182.506,1186.734,1181.646,1186.734,150819700.0,2025-02-11
2025-02-11 13:15:00,1186.897,1191.969,1183.692,1191.969,217123500.0,2025-02-11
2025-02-11 13:30:00,1191.984,1193.724,1188.409,1188.426,168522500.0,2025-02-11
2025-02-11 13:45:00,1188.343,1193.018,1187.257,1187.353,166399700.0,2025-02-11
2025-02-11 14:00:00,1187.257,1187.274,1184.59,1185.872,146416600.0,2025-02-11
2025-02-11 14:15:00,1185.878,1186.179,1181.972,1185.07,138726600.0,2025-02-11
2025-02-11 14:30:00,1185.036,1185.894,1182.995,1185.894,115787600.0,2025-02-11
2025-02-11 14:45:00,1185.905,1186.897,1180.44,1180.603,184824700.0,2025-02-11
2025-02-11 15:00:00,1180.541,1181.411,1179.623,1181.139,251984700.0,2025-02-11
2025-02-12 09:45:00,1179.983,1188.675,1179.119,1179.119,602619800.0,2025-02-12
2025-02-12 10:00:00,1178.914,1184.38,1176.061,1184.292,299366300.0,2025-02-12
2025-02-12 10:15:00,1184.362,1188.297,1184.241,1186.546,263389800.0,2025-02-12
2025-02-12 10:30:00,1186.688,1188.917,1182.767,1188.917,231462600.0,2025-02-12
2025-02-12 10:45:00,1188.976,1192.452,1187.329,1191.192,201068300.0,2025-02-12
2025-02-12 11:00:00,1191.244,1192.321,1188.707,1189.031,171922600.0,2025-02-12
2025-02-12 11:15:00,1188.917,1194.249,1186.793,1191.947,167490300.0,2025-02-12
